pseudoword,subband,length,accuracy
hirtored,4k-b,8,1.000
sirelang,4k-b,8,1.000
forsheer,4k-b,8,0.975
baricked,4k-b,8,0.950
chenaste,4k-b,8,1.000
fireures,4k-b,8,1.000
stuciest,4k-b,8,1.000
selshern,4k-b,8,1.000
shestles,4k-b,8,1.000
backoche,4k-b,8,1.000
tightbing,4k-b,9,0.974
hagstates,4k-b,9,1.000
snomsound,4k-b,9,1.000
bobtraugh,4k-b,9,1.000
dravelled,4k-b,9,0.950
rannicked,4k-b,9,1.000
scrongles,4k-b,9,0.975
tarlicked,4k-b,9,0.975
possmames,4k-b,9,1.000
headcants,4k-b,9,1.000
foundlowed,4k-b,10,1.000
statsmaged,4k-b,10,1.000
trainstess,4k-b,10,1.000
clipheards,4k-b,10,0.950
teedsteals,4k-b,10,1.000
screesstay,4k-b,10,1.000
splavelled,4k-b,10,0.950
griestproof,4k-b,11,0.975
glutchbooks,4k-b,11,1.000
strouachens,4k-b,11,1.000
brooseblock,4k-b,11,1.000
gelk,5k-a,4,0.975
prab,5k-a,4,0.950
ioun,5k-a,4,1.000
reir,5k-a,4,0.987
loff,5k-a,4,1.000
fope,5k-a,4,1.000
pril,5k-a,4,0.975
wirt,5k-a,4,0.974
ifon,5k-a,4,1.000
stul,5k-a,4,1.000
sish,5k-a,4,0.974
moft,5k-a,4,0.987
atyp,5k-a,4,1.000
kint,5k-a,4,0.950
boov,5k-a,4,1.000
geaf,5k-a,4,1.000
fagy,5k-a,4,0.950
gich,5k-a,4,1.000
cagu,5k-a,4,1.000
yths,5k-a,4,1.000
smou,5k-a,4,1.000
rillo,5k-a,5,1.000
toist,5k-a,5,0.974
aciss,5k-a,5,1.000
voffy,5k-a,5,1.000
snold,5k-a,5,0.975
rudip,5k-a,5,0.975
blinn,5k-a,5,1.000
fonce,5k-a,5,0.974
trayy,5k-a,5,0.975
pinis,5k-a,5,0.975
taxgy,5k-a,5,1.000
shuty,5k-a,5,1.000
blaws,5k-a,5,0.950
geams,5k-a,5,0.950
knets,5k-a,5,0.975
werms,5k-a,5,1.000
diods,5k-a,5,0.974
lompy,5k-a,5,1.000
shogs,5k-a,5,0.987
summy,5k-a,5,0.974
cemoan,5k-a,6,1.000
arttip,5k-a,6,1.000
remect,5k-a,6,0.974
qandle,5k-a,6,1.000
tibbed,5k-a,6,0.950
encorm,5k-a,6,0.975
slaced,5k-a,6,1.000
cowtut,5k-a,6,0.975
ghoups,5k-a,6,0.975
parfie,5k-a,6,0.950
allops,5k-a,6,0.975
patils,5k-a,6,0.950
juvast,5k-a,6,1.000
broogy,5k-a,6,1.000
earjog,5k-a,6,1.000
usgrot,5k-a,6,1.000
caotan,5k-a,6,1.000
mallar,5k-a,6,1.000
cauced,5k-a,6,1.000
rockoo,5k-a,6,1.000
undlye,5k-a,6,1.000
feethed,5k-a,7,1.000
trysish,5k-a,7,0.974
morbend,5k-a,7,0.950
vabbing,5k-a,7,1.000
manhets,5k-a,7,0.975
shethed,5k-a,7,0.974
tissahs,5k-a,7,1.000
tearnos,5k-a,7,1.000
kinfelf,5k-a,7,1.000
strites,5k-a,7,1.000
erpumes,5k-a,7,1.000
rewding,5k-a,7,0.974
gossnet,5k-a,7,1.000
vaggles,5k-a,7,1.000
edliste,5k-a,7,1.000
chelloc,5k-a,7,1.000
masteft,5k-a,7,1.000
shigaus,5k-a,7,1.000
inplains,5k-a,8,0.974
purdiefs,5k-a,8,1.000
garlones,5k-a,8,0.975
adwocked,5k-a,8,1.000
grackers,5k-a,8,1.000
trartnit,5k-a,8,1.000
gungless,5k-a,8,1.000
shincens,5k-a,8,1.000
shamwack,5k-a,8,0.975
stempage,5k-a,8,1.000
preaging,5k-a,8,0.974
crucking,5k-a,8,1.000
pathtort,5k-a,8,0.975
rictides,5k-a,8,0.975
porttone,5k-a,8,0.975
jolfbies,5k-a,8,1.000
lightbole,5k-a,9,0.950
siverooks,5k-a,9,1.000
shucklist,5k-a,9,1.000
nerbstint,5k-a,9,1.000
procoiced,5k-a,9,1.000
knueezing,5k-a,9,1.000
eilthetes,5k-a,9,1.000
unthothed,5k-a,9,1.000
garefrash,5k-a,9,0.974
soilskere,5k-a,9,1.000
nirdrooms,5k-a,9,1.000
frirspawn,5k-a,9,1.000
phantring,5k-a,9,1.000
brashtoint,5k-a,10,0.974
quaintbest,5k-a,10,0.975
thrittered,5k-a,10,0.975
sluickters,5k-a,10,1.000
snitchdear,5k-a,10,1.000
enskrilled,5k-a,10,1.000
trufardess,5k-a,10,1.000
boyfruists,5k-a,10,0.950
catchstrand,5k-a,11,0.974
searthlions,5k-a,11,1.000
spouthening,5k-a,11,1.000
harestalled,5k-a,11,0.974
broadsherds,5k-a,11,0.974
unni,5k-b,4,1.000
torb,5k-b,4,1.000
juit,5k-b,4,1.000
bube,5k-b,4,0.974
meft,5k-b,4,1.000
weit,5k-b,4,0.974
lald,5k-b,4,0.974
ambs,5k-b,4,1.000
scue,5k-b,4,1.000
coce,5k-b,4,1.000
iton,5k-b,4,1.000
vavs,5k-b,4,1.000
puge,5k-b,4,1.000
cowo,5k-b,4,1.000
blid,5k-b,4,1.000
lerd,5k-b,4,0.950
spiy,5k-b,4,0.975
fise,5k-b,4,1.000
guas,5k-b,4,1.000
plag,5k-b,4,0.974
reods,5k-b,5,1.000
cetil,5k-b,5,1.000
nided,5k-b,5,1.000
veens,5k-b,5,0.974
pudal,5k-b,5,0.974
moxer,5k-b,5,1.000
swick,5k-b,5,0.975
vutty,5k-b,5,1.000
baxie,5k-b,5,0.975
bueue,5k-b,5,1.000
homay,5k-b,5,1.000
lonks,5k-b,5,1.000
heans,5k-b,5,0.950
clabs,5k-b,5,0.950
shick,5k-b,5,0.974
colve,5k-b,5,0.975
coose,5k-b,5,1.000
skist,5k-b,5,0.975
fasks,5k-b,5,0.950
memis,5k-b,5,0.975
awood,5k-b,5,1.000
barray,5k-b,6,1.000
griced,5k-b,6,0.974
tiends,5k-b,6,1.000
bellor,5k-b,6,0.974
frunks,5k-b,6,1.000
hoxgis,5k-b,6,1.000
indlis,5k-b,6,1.000
leizes,5k-b,6,0.975
cofros,5k-b,6,1.000
erfess,5k-b,6,1.000
omills,5k-b,6,1.000
kiylls,5k-b,6,1.000
pilten,5k-b,6,1.000
sesids,5k-b,6,1.000
tibbin,5k-b,6,1.000
dardie,5k-b,6,1.000
cumots,5k-b,6,0.975
daesan,5k-b,6,0.974
bogwin,5k-b,6,1.000
rangad,5k-b,6,0.974
wintir,5k-b,6,1.000
returse,5k-b,7,1.000
keetted,5k-b,7,1.000
tulared,5k-b,7,1.000
erkleme,5k-b,7,1.000
irtered,5k-b,7,1.000
supuats,5k-b,7,0.975
lellers,5k-b,7,1.000
sunlief,5k-b,7,0.975
lenucts,5k-b,7,0.975
appiene,5k-b,7,0.974
systios,5k-b,7,1.000
monbees,5k-b,7,0.950
flafing,5k-b,7,1.000
cibsian,5k-b,7,1.000
spigane,5k-b,7,1.000
pottoos,5k-b,7,0.975
neciest,5k-b,7,1.000
slippee,5k-b,7,0.974
laubing,5k-b,7,0.974
suddles,5k-b,7,0.975
niffbag,5k-b,7,1.000
dullbosk,5k-b,8,1.000
magwives,5k-b,8,0.975
porthade,5k-b,8,0.975
clissing,5k-b,8,0.974
flunbees,5k-b,8,1.000
lymenate,5k-b,8,1.000
sereacks,5k-b,8,1.000
labmuers,5k-b,8,0.975
shadroom,5k-b,8,1.000
grussier,5k-b,8,0.974
thilking,5k-b,8,1.000
gruggies,5k-b,8,0.974
bentrooms,5k-b,9,1.000
threeners,5k-b,9,0.975
pallpoles,5k-b,9,1.000
hautchens,5k-b,9,1.000
aunstials,5k-b,9,1.000
snowblips,5k-b,9,0.974
tungspile,5k-b,9,1.000
brandmess,5k-b,9,0.950
stempling,5k-b,9,0.975
schooders,5k-b,9,1.000
hitchhell,5k-b,9,0.974
frejuncts,5k-b,9,1.000
stilkwall,5k-b,9,0.974
sedgewards,5k-b,10,0.974
hequefoche,5k-b,10,1.000
fruihounds,5k-b,10,1.000
loincliffs,5k-b,10,0.975
draudening,5k-b,10,1.000
conshiends,5k-b,10,1.000
struelchest,5k-b,11,1.000
switchcants,5k-b,11,1.000
bookshyards,5k-b,11,1.000
hamespained,5k-b,11,1.000
windthroans,5k-b,11,1.000
schoolfound,5k-b,11,0.975
aths,6k-a,4,0.987
opee,6k-a,4,1.000
hino,6k-a,4,0.975
sirk,6k-a,4,0.975
cied,6k-a,4,0.974
bral,6k-a,4,0.950
woff,6k-a,4,0.975
ganc,6k-a,4,1.000
grir,6k-a,4,1.000
smem,6k-a,4,0.974
jire,6k-a,4,0.974
dawk,6k-a,4,0.974
dryn,6k-a,4,1.000
ciut,6k-a,4,1.000
tafa,6k-a,4,0.974
nale,6k-a,4,0.975
wawl,6k-a,4,1.000
pombs,6k-a,5,1.000
vexco,6k-a,5,1.000
tiked,6k-a,5,0.975
leddy,6k-a,5,1.000
fanky,6k-a,5,1.000
jugan,6k-a,5,1.000
swait,6k-a,5,1.000
manva,6k-a,5,0.974
otiop,6k-a,5,1.000
cuvel,6k-a,5,1.000
stase,6k-a,5,1.000
canwo,6k-a,5,1.000
drues,6k-a,5,1.000
heaux,6k-a,5,0.950
rirer,6k-a,5,0.950
ylphs,6k-a,5,1.000
poves,6k-a,5,0.950
brirls,6k-a,6,0.975
tiacks,6k-a,6,1.000
jimers,6k-a,6,0.950
alsund,6k-a,6,1.000
ferged,6k-a,6,1.000
pablet,6k-a,6,1.000
chaxos,6k-a,6,0.974
maglip,6k-a,6,1.000
imenit,6k-a,6,1.000
sedish,6k-a,6,1.000
stooma,6k-a,6,0.974
sedave,6k-a,6,1.000
feeker,6k-a,6,0.974
praths,6k-a,6,1.000
issish,6k-a,6,1.000
unaste,6k-a,6,0.974
rirled,6k-a,6,1.000
indave,6k-a,6,1.000
camrin,6k-a,6,1.000
sertan,6k-a,6,1.000
emmied,6k-a,6,1.000
mierce,6k-a,6,1.000
argops,6k-a,6,1.000
remmas,6k-a,6,1.000
piming,6k-a,6,0.974
guntic,6k-a,6,1.000
rebits,6k-a,6,0.950
eassee,6k-a,6,1.000
carques,6k-a,7,1.000
taccate,6k-a,7,0.974
ninting,6k-a,7,1.000
servake,6k-a,7,1.000
detumns,6k-a,7,1.000
engosks,6k-a,7,1.000
brewpen,6k-a,7,0.974
bleller,6k-a,7,1.000
nueezet,6k-a,7,1.000
trybied,6k-a,7,1.000
detrops,6k-a,7,1.000
croader,6k-a,7,1.000
jellain,6k-a,7,1.000
eetseal,6k-a,7,1.000
rulbles,6k-a,7,0.950
sturker,6k-a,7,0.974
renfers,6k-a,7,1.000
skecked,6k-a,7,1.000
showlane,6k-a,8,0.950
uneights,6k-a,8,1.000
trittles,6k-a,8,0.950
damecote,6k-a,8,0.975
moursing,6k-a,8,0.950
stemcons,6k-a,8,0.974
chuscing,6k-a,8,1.000
prencing,6k-a,8,0.975
sninkers,6k-a,8,0.974
monseits,6k-a,8,1.000
goorherd,6k-a,8,1.000
bencemen,6k-a,8,0.974
teecaves,6k-a,8,1.000
litelier,6k-a,8,1.000
footpique,6k-a,9,0.975
pressbung,6k-a,9,1.000
priciedge,6k-a,9,1.000
garestose,6k-a,9,1.000
moultails,6k-a,9,1.000
clornbape,6k-a,9,1.000
untumphed,6k-a,9,0.974
navestate,6k-a,9,1.000
slangwide,6k-a,9,1.000
thingring,6k-a,9,1.000
montenced,6k-a,9,0.974
buckaired,6k-a,9,0.974
sploughott,6k-a,10,1.000
nethteenth,6k-a,10,0.950
gimpgriend,6k-a,10,1.000
dametailed,6k-a,10,1.000
thewsandth,6k-a,10,0.975
collaughts,6k-a,10,0.974
heatthrome,6k-a,10,1.000
toosepistes,6k-a,11,1.000
thusqueless,6k-a,11,1.000
struelchens,6k-a,11,1.000
bleatstains,6k-a,11,0.974
breadbrombs,6k-a,11,0.950
mireplights,6k-a,11,1.000
freirdships,6k-a,11,0.975
ceme,6k-b,4,1.000
tald,6k-b,4,1.000
omaw,6k-b,4,1.000
dwaw,6k-b,4,0.975
bipe,6k-b,4,0.974
twip,6k-b,4,0.950
spug,6k-b,4,0.974
nunt,6k-b,4,0.975
eaun,6k-b,4,1.000
paze,6k-b,4,0.987
eirs,6k-b,4,0.975
trut,6k-b,4,0.950
weme,6k-b,4,1.000
ezip,6k-b,4,1.000
guke,6k-b,4,1.000
tabc,6k-b,4,1.000
crad,6k-b,4,0.987
tirk,6k-b,4,0.975
adfle,6k-b,5,1.000
lirms,6k-b,5,1.000
dysts,6k-b,5,1.000
dizee,6k-b,5,0.974
wheak,6k-b,5,0.974
jempy,6k-b,5,1.000
flait,6k-b,5,1.000
cruce,6k-b,5,1.000
attag,6k-b,5,1.000
doods,6k-b,5,0.975
anopt,6k-b,5,1.000
plurl,6k-b,5,1.000
ibots,6k-b,5,1.000
nonds,6k-b,5,1.000
anwot,6k-b,5,1.000
flawl,6k-b,5,0.950
larse,6k-b,5,0.974
blill,6k-b,5,1.000
dinds,6k-b,5,1.000
sests,6k-b,5,0.975
ommure,6k-b,6,1.000
casied,6k-b,6,1.000
stozed,6k-b,6,0.975
besker,6k-b,6,0.950
mirwen,6k-b,6,1.000
mabdew,6k-b,6,1.000
thasly,6k-b,6,1.000
ictase,6k-b,6,0.974
niphit,6k-b,6,0.974
purter,6k-b,6,1.000
canfon,6k-b,6,0.975
mahoos,6k-b,6,0.974
narves,6k-b,6,0.975
ebrobe,6k-b,6,1.000
remios,6k-b,6,1.000
bannem,6k-b,6,1.000
spraft,6k-b,6,1.000
tincic,6k-b,6,1.000
wyturn,6k-b,6,1.000
schint,6k-b,6,0.950
occept,6k-b,6,0.974
gepped,6k-b,6,1.000
survern,6k-b,7,0.974
beshoon,6k-b,7,0.975
cansirs,6k-b,7,1.000
tompets,6k-b,7,1.000
scudged,6k-b,7,0.950
sneapee,6k-b,7,1.000
debocks,6k-b,7,0.950
trupios,6k-b,7,1.000
squsted,6k-b,7,1.000
cibslet,6k-b,7,1.000
coftard,6k-b,7,1.000
pesgert,6k-b,7,1.000
faltets,6k-b,7,1.000
cenflel,6k-b,7,1.000
dourner,6k-b,7,1.000
melouns,6k-b,7,1.000
phoefox,6k-b,7,1.000
riftine,6k-b,7,1.000
nalives,6k-b,7,0.975
suiwure,6k-b,7,1.000
vongles,6k-b,7,0.974
slobways,6k-b,8,0.974
obchedes,6k-b,8,1.000
cibjuits,6k-b,8,1.000
tinesman,6k-b,8,0.975
comblone,6k-b,8,1.000
stindies,6k-b,8,1.000
steckles,6k-b,8,1.000
woopends,6k-b,8,1.000
sawriacs,6k-b,8,1.000
trinding,6k-b,8,0.975
eyeglost,6k-b,8,1.000
omaninct,6k-b,8,1.000
phinsess,6k-b,8,1.000
flaukies,6k-b,8,1.000
plamenent,6k-b,9,0.975
malferred,6k-b,9,1.000
quifrains,6k-b,9,0.974
perklines,6k-b,9,0.974
platmorns,6k-b,9,1.000
claymirds,6k-b,9,1.000
knincedge,6k-b,9,1.000
porplasks,6k-b,9,1.000
knomsacks,6k-b,9,1.000
trishling,6k-b,9,1.000
groughbel,6k-b,9,1.000
snowslafts,6k-b,10,0.975
feastmouse,6k-b,10,1.000
trartgerse,6k-b,10,1.000
chaudecake,6k-b,10,1.000
comedrakes,6k-b,10,1.000
claughters,6k-b,10,0.950
constriors,6k-b,10,0.950
sharvelings,6k-b,11,0.975
checkraints,6k-b,11,0.975
prestrished,6k-b,11,1.000
clonebuncts,6k-b,11,1.000
thewsandths,6k-b,11,1.000
brideshooed,6k-b,11,0.974
